"Název knihovny","Verze","Licence","Odkaz"
"Django","4.2.7","BSD License","https://www.djangoproject.com/"
"MarkupPy","1.14","MIT","https://github.com/tylerbakke/MarkupPy"
"Pillow","10.1.0","Historical Permission Notice and Disclaimer (HPND)","https://python-pillow.org"
"PyRTF3","0.47.5","GNU General Public License (GPL)","https://github.com/xoviat/pyrtf"
"PySocks","1.7.1","BSD","https://github.com/Anorov/PySocks"
"PyYAML","6.0.1","MIT License","https://pyyaml.org/"
"amqp","5.2.0","BSD License","http://github.com/celery/py-amqp"
"asgiref","3.6.0","BSD License","https://github.com/django/asgiref/"
"async-timeout","4.0.3","Apache Software License","https://github.com/aio-libs/async-timeout"
"attrs","23.1.0","MIT License","https://www.attrs.org/en/stable/changelog.html"
"beautifulsoup4","4.12.2","MIT License","https://www.crummy.com/software/BeautifulSoup/bs4/"
"billiard","4.2.0","BSD License","https://github.com/celery/billiard"
"black","23.11.0","MIT License","https://github.com/psf/black"
"celery","5.3.6","BSD License","https://docs.celeryq.dev/"
"certifi","2023.11.17","Mozilla Public License 2.0 (MPL 2.0)","https://github.com/certifi/python-certifi"
"cfgv","3.4.0","MIT License","https://github.com/asottile/cfgv"
"chardet","5.2.0","GNU Lesser General Public License v2 or later (LGPLv2+)","https://github.com/chardet/chardet"
"charset-normalizer","3.3.2","MIT License","https://github.com/Ousret/charset_normalizer"
"click","8.1.7","BSD License","https://palletsprojects.com/p/click/"
"click-didyoumean","0.3.0","MIT License","UNKNOWN"
"click-plugins","1.1.1","BSD License","https://github.com/click-contrib/click-plugins"
"click-repl","0.3.0","MIT","https://github.com/untitaker/click-repl"
"confusable-homoglyphs","3.2.0","MIT License","https://github.com/vhf/confusable_homoglyphs"
"coverage","7.3.2","Apache Software License","https://github.com/nedbat/coveragepy"
"crispy-bootstrap4","2023.1","MIT License","https://github.com/django-crispy-forms/crispy-bootstrap4"
"cron-descriptor","1.4.0","MIT License","https://github.com/Salamek/cron-descriptor"
"defusedxml","0.7.1","Python Software Foundation License","https://github.com/tiran/defusedxml"
"distlib","0.3.7","Python Software Foundation License","https://github.com/pypa/distlib"
"django-add-default-value","0.10.0","Apache Software License","https://github.com/3YOURMIND/django-add-default-value"
"django-appconf","1.0.6","BSD License","https://django-appconf.readthedocs.io/"
"django-auto-logout","0.5.1","BSD License","https://github.com/bugov/django-auto-logout"
"django-autocomplete-light","3.9.8rc29","MIT License","http://django-autocomplete-light.rtfd.org"
"django-celery-beat","2.5.0","BSD License","https://github.com/celery/django-celery-beat"
"django-celery-results","2.5.1","BSD License","https://github.com/celery/django-celery-results"
"django-compressor","4.4","MIT License","https://django-compressor.readthedocs.io/en/latest/"
"django-crispy-forms","2.1","MIT License","https://github.com/django-crispy-forms/django-crispy-forms"
"django-debug-toolbar","4.2.0","BSD License","https://github.com/jazzband/django-debug-toolbar"
"django-debug-toolbar-template-profiler","2.1.0","BSD License","https://github.com/node13h/django-debug-toolbar-template-profiler"
"django-extensions","3.2.3","MIT License","https://github.com/django-extensions/django-extensions"
"django-filter","23.5","BSD License","https://github.com/carltongibson/django-filter/tree/main"
"django-libsass","0.9","BSD License","https://github.com/torchbox/django-libsass"
"django-livereload-server","0.5","BSD License","https://github.com/tjwalch/django-livereload-server"
"django-object-actions","4.2.0","Apache Software License","https://github.com/crccheck/django-object-actions"
"django-prometheus","2.3.1","Apache Software License","http://github.com/korfuri/django-prometheus"
"django-recaptcha","3.0.0","BSD License","https://github.com/torchbox/django-recaptcha"
"django-registration","3.3","BSD License","https://github.com/ubernostrum/django-registration/"
"django-rosetta","0.10.0","MIT License","https://github.com/mbi/django-rosetta"
"django-simple-history","3.4.0","BSD License","https://github.com/jazzband/django-simple-history"
"django-tables2","2.6.0","BSD License","https://github.com/jieter/django-tables2/"
"django-tables2-column-shifter","2.2.0","BSD License","https://github.com/djk2/django-tables2-column-shifter"
"django-timezone-field","6.1.0","BSD License","https://github.com/mfogel/django-timezone-field/"
"django-widget-tweaks","1.5.0","MIT License","https://github.com/jazzband/django-widget-tweaks"
"djangorestframework","3.14.0","BSD License","https://www.django-rest-framework.org/"
"djangorestframework-xml","2.0.0","BSD License","https://github.com/jpadilla/django-rest-framework-xml"
"et-xmlfile","1.1.0","MIT License","https://foss.heptapod.net/openpyxl/et_xmlfile"
"exceptiongroup","1.2.0","MIT License","https://github.com/agronholm/exceptiongroup/blob/main/CHANGES.rst"
"filelock","3.13.1","The Unlicense (Unlicense)","https://github.com/tox-dev/py-filelock"
"h11","0.14.0","MIT License","https://github.com/python-hyper/h11"
"identify","2.5.33","MIT License","https://github.com/pre-commit/identify"
"idna","3.6","BSD License","https://github.com/kjd/idna"
"isort","5.13.1","MIT License","https://pycqa.github.io/isort/"
"kombu","5.3.4","BSD License","https://kombu.readthedocs.io"
"libsass","0.22.0","MIT License","https://sass.github.io/libsass-python/"
"lxml","4.9.3","BSD License","https://lxml.de/"
"mypy-extensions","1.0.0","MIT License","https://github.com/python/mypy_extensions"
"nodeenv","1.8.0","BSD License","https://github.com/ekalinin/nodeenv"
"numpy","1.26.2","BSD License","https://numpy.org"
"odfpy","1.4.1","Apache Software License; GNU General Public License (GPL); GNU Library or Lesser General Public License (LGPL)","https://github.com/eea/odfpy"
"openpyxl","3.1.2","MIT License","https://openpyxl.readthedocs.io"
"outcome","1.3.0.post0","Apache Software License; MIT License","https://github.com/python-trio/outcome"
